"y"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"subject"	"item"
0.641052273349878	0.684601241408784	0.522546392417272	0.933203055662957	1	0.115066466854235	0.216146902036444	"s6"	"sigaren"
0.570499288760084	0.696241598126502	0.536031528922667	0.690060095146211	1	0.0688998835143918	0.117179711421301	"s6"	"forellen"
0.5339374389105	0.716939438190909	0.594503845430267	0.574806257110328	1	0.0671609065644627	0.1373858797965	"s6"	"kalkoenen"
0.455106614369448	0.564677773345285	0.63096376473218	0.555258765345375	1	0.088746106710833	0.19544974897026	"s6"	"barakken"
0.57236494672448	0.662752296557106	0.679464836510613	0.470502539667318	-1	0.08340272537757	0.189146469299156	"s6"	"asiel"
0.538545774412628	0.774673810869408	0.800537344638342	0.718932000719991	1	0.0511399963698836	0.158893285100985	"s6"	"reptielen"
0.763163592763201	0.606754286161097	0.805347094724228	0.786574067408454	1	0.0881574776710528	0.274909683941519	"s6"	"struiken"
0.456606234668148	0.632899362956572	0.870533795206744	0.679182775582773	-1	0.0563626336963422	0.127823079111655	"s6"	"icoon"
0.642716872272574	0.61310940241975	0.8886394604715	0.555258765345375	1	0.121108674087559	0.373224464199568	"s6"	"giften"
0.53062459848147	0.587280426872896	0.947673190536776	0.772605878783586	-1	0.0752810897682273	0.170727662317884	"s6"	"kristal"
0.347097494203327	0.625623780469616	0.332186702383494	0.490046134094022	1	0.110067898516001	0.193692177387949	"s6"	"toiletten"
0.739933666369984	0.556532544839856	0.44823832337727	0.911785817377306	1	0.194685742145141	0.141919416791564	"s6"	"robijnen"
0.430604042473058	0.569018887962984	0.497509326582452	0.511060342697881	1	0.163619704120708	0.252918967855201	"s6"	"angsten"
0.413979454049636	0.621102841105352	0.536031528922667	0.69314366980616	-1	0.0743691676186576	0.168659542192481	"s6"	"likeur"
0.429039881486387	0.714512035592404	0.640825685951662	0.50727625127683	1	0.149930071919799	0.230848496513768	"s6"	"koningen"
0.384396200513979	0.602090305148256	0.719065880565337	0.607591932522028	-1	0.066371330478646	0.150521493942685	"s6"	"riool"
0.429039881486387	0.430856588794138	0.820788909435587	0.702330887144172	-1	0.093668853061576	0.212428703734702	"s6"	"bordeel"
0.308354330766126	0.442380563716866	0.822520327222664	0.0231481115614001	1	1	0.1389433360204	"s6"	"kannen"
0.56297980535965	0.54378441453745	0.824235016073922	0.493903941802365	-1	0.110895852169172	0.251497283844888	"s6"	"krot"
0.395243153485801	0.423835892596338	0.896192469086917	0.752675126888697	-1	0.0598703736822081	0.135778174470259	"s6"	"klavier"
0.497883520917441	0.370570706252002	0.901791321920247	0.562416652736924	1	0.0516695200693197	0.0987223029330451	"s6"	"klonten"
0.489419782264486	0.561557891983692	0.935793513141641	0.732288403439789	1	0.101844323547945	0.169910684299273	"s6"	"matrassen"
0.394415499966531	0.557162989212979	0.953944829574626	0.322529631985887	1	0.111829592319777	0.225205663111039	"s6"	"engelen"
0.361240446722505	0.5508289366947	0.957201231314609	0.640847738701884	-1	0.440942544085554	1	"s6"	"aas"
0.436821385602445	0.377383814430201	0.961976467803437	0.783797890117431	1	0.431332955535335	0.532666814973806	"s6"	"patronen"
0.380173058577708	0.678438382470692	0.967008638967233	0.663409758708663	-1	0.270137211433628	0.612635852577687	"s6"	"berg"
0.515152483524436	0.433178922145629	0.468350642254848	0.839049504875466	-1	0.233111796815724	0.528667056382962	"s6"	"verkeer"
0.484428522784583	0.64882247846909	0.782055685767881	0.755549813862597	1	0.0923946311934154	0.135778174470259	"s6"	"rubrieken"
0.452096409829061	0.520141817029382	0.851103747138914	0.690060095146211	1	0.269787411574043	0.802815580353847	"s6"	"feiten"
0.653701041746873	0.512052160549271	0.895622744952329	0.4321457888207	1	0.186032281609921	0.301924518117877	"s6"	"peren"
0.409146235714685	0.467720211153456	0.963928840799899	0.452539177366147	1	0.0958053786080441	0.133264975925396	"s6"	"worsten"
0.458848862392627	0.596209567402533	0.123012078422607	0.69314366980616	-1	0.142130841201918	0.322334152393198	"s6"	"sfeer"
0.409146235714685	0.734607230825684	0.30253979514685	0.900881031817219	-1	0.0456940023262878	0.103628018977053	"s6"	"radijs"
0.369055855694051	0.662752296557106	0.44823832337727	0.468524398589787	1	0.28164263898167	0.490467483684349	"s6"	"bussen"
0.394415499966531	0.706678580481232	0.497509326582452	0.396368641288302	1	0.12937275021892	0.248865145085927	"s6"	"vakken"
0.53195186700424	0.739295484917124	0.643207854812872	0.592212126632718	1	0.158321534182678	0.175734565286047	"s6"	"zessen"
0.45735468207614	0.471359142081983	0.692478858018054	0.537108398856677	-1	0.304292506381306	0.690095592867686	"s6"	"spel"
0.531288589152302	0.455927093995314	0.743533483427666	0.593934160382763	-1	0.326248660172323	0.739889277068764	"s6"	"gort"
0.40590295656244	0.565921257507483	0.768570549262485	0.512946379774672	-1	0.089413486384267	0.202778088854403	"s6"	"tsaar"
0.678770197624155	0.50247615880841	0.842847890414693	0.785187059828574	1	0.0563626336963422	0.0826370384289502	"s6"	"bokalen"
