"score" "frequency" "penalty" "score_prev" "duration" "trial" "item" "subject"
"515" 7.23128700432762 -0.444355128052995 1 -0.533243523399393 0.216610005293384 -143.023572819514 "giganten" "s1"
"517" 7.0343879299155 -0.156673055601214 1 0.249429493609257 0.123619537247693 -136.023572819514 "vandalen" "s1"
"519" 6.87005341179813 4.3108142752113 0 -0.0245349426137231 -0.0765515329230171 -134.023572819514 "recht" "s1"
"520" 6.75110146893676 1.36393364312627 1 -0.158455667538273 -0.184765117563257 -133.023572819514 "nieren" "s1"
"521" 6.63856778916652 0.64308386001699 1 -0.277407610399643 -0.538528851294527 -132.023572819514 "typen" "s1"
"524" 6.90775527898214 0.729158468788233 1 -0.108825229488993 -0.292395781755617 -124.023572819514 "bulten" "s1"
"525" 6.96602418710611 7.05539092911264 0 -0.194400340522563 -0.571028018687486 -119.023572819514 "bij" "s1"
"526" 6.67582322163485 2.99766424812942 1 -0.0624848922302927 -0.452244482697517 -118.023572819514 "dieven" "s1"
"536" 7.1777824161952 -0.801030071991727 0 -0.136883182284153 0.056979859701503 -81.0235728195142 "spaak" "s1"
"538" 7.18538701558042 -0.0169111132260547 1 0.162166954995807 0.00770881069472296 -77.0235728195142 "snuiten" "s1"
"551" 7.12125245324454 0.214890500831269 0 0.464808169525747 0.0617760319649934 -35.0235728195142 "fluweel" "s1"
"552" 7.15929190479756 2.0853655375248 1 0.439433252949447 -0.0876013691096063 -31.0235728195142 "kanalen" "s1"
"555" 7.45760928971561 -3.84555250971515 0 0.210705894443407 -0.207469911257017 -28.0235728195142 "ritme" "s1"
"556" 7.10496544826984 -2.59278954121978 0 0.545535926035797 0.504292077745164 -24.0235728195142 "meesterschap" "s1"
"557" 6.98841318199959 5.24024452718643 0 0.233418013366347 -0.577052133290866 -20.0235728195142 "uur" "s1"
"561" 6.98564181763921 1.83462009930192 1 -0.135867438164313 -0.263278383184897 -16.0235728195142 "planten" "s1"
"563" 7.18614430452233 4.55364512346338 1 0.362289442399277 -0.131127634159497 -12.0235728195142 "zessen" "s1"
"564" 6.95272864462487 1.73606233096684 1 0.157635225185927 -0.0441162571698666 -11.0235728195142 "geiten" "s1"
"565" 7.16549347506085 1.78026842347134 0 0.214288843457357 -0.211654017779587 -9.02357281951419 "opera" "s1"
"573" 7.35564110297425 -1.31982386540689 0 0.375161210675967 -0.329437053435966 6.97642718048581 "leem" "s1"
"578" 7.07834157955767 -1.97375033281356 0 0.0456077368609575 -0.290125633221077 15.9764271804858 "knoeier" "s1"
"580" 7.15773548424991 -1.40320547434595 0 -0.0672130334262331 -0.180691792175617 19.9764271804858 "dril" "s1"
"581" 7.0604763659998 0.530204511945136 0 0.00763941441413696 -0.0931724141590671 24.9764271804858 "gier" "s1"
"582" 6.88550967003482 -0.955180751818985 0 0.0190081420208967 -0.317713589739907 27.9764271804858 "klimmer" "s1"
"587" 7.12689080889881 -2.34147511293888 0 0.286043752987677 -0.0765515329230171 41.9764271804858 "zwengel" "s1"
"590" 7.34794382314869 -0.849820236161159 0 -0.0624848922302927 0.310428760511043 46.9764271804858 "dichtheid" "s1"
"602" 7.26961674960817 1.01425989464652 1 0.130004917992917 -0.261073310626577 71.9764271804858 "hanen" "s1"
"603" 7.00124562206948 5.28817675988919 0 0.241107670271767 -0.186808019193057 72.9764271804858 "morgen" "s1"
"609" 6.90675477864855 -2.59278954121978 0 0.242499458944587 0.483587404383473 83.9764271804858 "nietigheid" "s1"
"613" 7.37462901521894 -3.1524053291552 0 0.263147129838057 0.285238511682484 102.976427180486 "drogerij" "s1"
"621" 6.99025650049388 2.60807248917754 0 0.136211299435457 -0.308432780665437 121.976427180486 "lef" "s1"
"625" 7.24351297466548 2.81885651063526 1 0.152322119708157 -0.121502920785287 136.976427180486 "taarten" "s1"
"627" 6.86901445066571 -4.5386996902751 0 -0.0227200600829027 0.287786283761283 140.976427180486 "snoeperij" "s1"
"629" 6.86380339145295 1.39619450534449 0 -0.069110567202423 -0.476537175266556 144.976427180486 "dam" "s1"
"634" 6.89871453432999 -4.5386996902751 0 -0.151213007838973 0.345863133498914 158.976427180486 "tengerheid" "s1"
"637" 6.53378883793334 -0.955180751818985 0 0.0682122991583567 -0.254487117773716 163.976427180486 "brik" "s1"
"643" 7.04838640872188 0.223474244522661 0 0.380021487558227 -0.0178680310949266 179.976427180486 "bakkerij" "s1"
"647" 7.08590146436561 -1.40320547434595 0 -0.365376383345603 0.468834765908434 187.976427180486 "vennootschap" "s1"
"658" 7.02197642307216 3.66048966880297 0 -0.196555513770553 -0.232841250999027 206.976427180486 "lijn" "s1"
"668" 7.13727843726039 0.351649437946659 0 -0.109813860315933 -0.213752654436506 245.976427180486 "weide" "s1"
"670" 6.94697599213542 1.22020208360219 0 -0.266936310532343 0.0962622080361637 249.976427180486 "barbecue" "s1"
